Longitude	Latitude	Elevation	Elevation	HCP1	PRP1	HCP2	PRP2	VpH	VEC_s	VEC_d	TWI
-75.754257	45.112338	60.12	60.12	32.98	21.04	33.42	28.02	6.31	35.23	33.80	13.08
-75.754232	45.112317	60.11	60.11	32.82	21.26	32.14	28.02	6.32	34.29	33.27	12.97
-75.754203	45.112290	60.08	60.08	32.52	21.26	31.94	27.74	6.34	33.41	32.78	12.86
-75.754170	45.112262	60.06	60.06	32.34	20.94	31.14	27.32	6.37	33.04	32.56	12.85
-75.754132	45.112232	60.03	60.03	32.00	20.94	30.84	27.32	6.39	32.31	32.22	12.84
-75.754097	45.112202	60.00	60.00	31.98	20.94	30.58	27.42	6.42	31.62	32.07	12.90
-75.754062	45.112175	59.97	59.97	31.22	20.48	30.32	27.42	6.45	31.03	32.06	12.96
-75.754025	45.112148	59.94	59.94	30.86	20.48	30.28	27.00	6.51	30.52	31.48	12.89
-75.753990	45.112125	59.95	59.95	30.86	20.68	29.86	27.00	6.49	30.11	31.16	12.84
-75.753958	45.112102	59.94	59.94	30.92	20.90	29.54	27.08	6.49	29.86	30.86	12.79
-75.753923	45.112078	59.93	59.93	31.08	21.10	29.34	27.08	6.49	29.76	30.74	12.83
-75.753892	45.112055	59.91	59.91	31.10	21.10	29.34	27.08	6.49	29.90	30.77	12.88
-75.753862	45.112032	59.90	59.90	31.46	21.10	29.60	27.84	6.52	30.21	30.90	12.85
-75.753830	45.112010	59.90	59.90	31.68	21.28	30.14	27.96	6.53	30.13	31.00	12.75
-75.753798	45.111987	59.90	59.90	32.32	20.68	31.30	27.84	6.53	29.96	31.11	12.56
-75.753772	45.111963	59.93	59.93	32.32	20.30	31.30	27.80	6.48	29.52	31.13	12.47
-75.753747	45.111938	59.91	59.91	31.48	20.22	31.22	27.20	6.48	29.74	31.23	12.49
-75.753717	45.111915	59.91	59.91	31.48	20.22	31.12	27.20	6.43	29.59	31.24	12.51
-75.753683	45.111893	59.92	59.92	31.66	20.86	30.50	28.20	6.39	29.53	31.21	12.57
-75.753660	45.111872	59.92	59.92	31.66	20.86	30.42	28.20	6.35	29.53	31.14	12.61
-75.753633	45.111850	59.91	59.91	31.34	20.42	30.26	27.48	6.36	29.96	31.12	12.56
-75.753607	45.111830	59.94	59.94	30.76	19.76	29.70	26.80	6.32	29.46	31.00	12.57
-75.753583	45.111810	59.96	59.96	29.96	18.88	29.00	25.72	6.29	29.34	30.81	12.48
-75.753558	45.111790	59.95	59.95	29.08	17.90	28.36	24.36	6.31	29.78	30.70	12.38
-75.753530	45.111767	59.96	59.96	28.46	17.84	27.90	24.28	6.29	29.72	30.50	12.32
-75.753500	45.111745	59.96	59.96	28.46	17.78	27.58	24.36	6.28	29.69	30.42	12.27
-75.753470	45.111723	59.99	59.99	28.54	17.78	27.50	24.38	6.22	29.06	30.32	12.27
-75.753442	45.111700	59.97	59.97	28.76	18.00	27.58	24.54	6.24	29.67	30.47	12.19
-75.753412	45.111675	59.97	59.97	28.82	18.04	27.92	24.88	6.20	29.69	30.46	12.14
-75.753380	45.111650	59.95	59.95	29.08	18.34	27.96	24.94	6.16	29.83	30.30	12.15
-75.753343	45.111625	59.94	59.94	29.64	18.58	28.50	25.84	6.13	30.04	30.29	12.14
-75.753310	45.111598	59.93	59.93	29.90	18.94	29.32	26.08	6.11	30.27	30.51	12.03
-75.753277	45.111573	59.92	59.92	30.40	19.22	30.26	26.18	6.09	30.46	30.99	11.93
-75.753235	45.111543	59.91	59.91	31.78	19.74	31.30	26.96	6.08	30.60	31.74	11.92
-75.753202	45.111518	59.90	59.90	31.78	19.74	31.30	26.96	6.07	30.67	32.79	11.90
-75.753163	45.111488	59.90	59.90	31.52	19.46	31.18	26.44	6.07	30.67	34.07	11.84
-75.753127	45.111458	59.87	59.87	31.06	19.16	30.60	25.88	6.09	31.44	34.47	11.81
-75.753087	45.111433	59.92	59.92	30.80	19.16	30.04	25.88	6.04	30.58	36.58	11.90
-75.753050	45.111407	59.90	59.90	30.80	19.36	29.72	25.88	6.05	31.35	36.27	11.91
