Longitude	Latitude	Elevation	Elevation	ShallowEC	DeepEC
-97.983688	41.274677	515.76	515.76	3.6	27.6
-97.983688	41.274666	515.781	515.781	3.1	25.3
-97.983688	41.274651	515.797	515.797	3.5	25.6
-97.983688	41.274635	515.806	515.806	3.2	23.5
-97.983688	41.274616	515.814	515.814	2.9	21.5
-97.983681	41.274605	515.824	515.824	2.6	19.9
-97.983673	41.274597	515.826	515.826	2.6	18.3
-97.983673	41.27459	515.831	515.831	2.2	15.9
-97.983681	41.274578	515.849	515.849	2.3	16
-97.983688	41.274567	515.876	515.876	2.1	16.7
-97.983688	41.274555	515.918	515.918	2.4	17.2
-97.983688	41.274548	515.953	515.953	2.5	17.8
-97.983704	41.27454	515.968	515.968	2.7	20.2
-97.983711	41.274532	515.969	515.969	2.7	18.6
-97.983719	41.274525	515.972	515.972	3	23.1
-97.983734	41.274517	515.986	515.986	3.5	22.7
-97.983757	41.274513	515.994	515.994	2.7	21.8
-97.98378	41.274513	515.993	515.993	2.6	17.4
-97.983795	41.274513	516.007	516.007	1.9	15.6
-97.98381	41.274513	516.026	516.026	1.4	11.5
-97.983826	41.274513	516.041	516.041	1.3	15.1
-97.983841	41.274513	516.052	516.052	1.4	12.4
-97.983849	41.274513	516.055	516.055	1.1	11.9
-97.983856	41.274513	516.066	516.066	1.1	8.2
-97.983856	41.274513	516.075	516.075	1.1	7.8
-97.983864	41.274513	516.09	516.09	1	9.7
-97.983887	41.274513	516.118	516.118	1.1	9.5
-97.98391	41.274513	516.138	516.138	1.2	9.8
-97.983932	41.274513	516.158	516.158	1	10.3
-97.983971	41.274513	516.18	516.18	0.9	7.4
-97.984009	41.274513	516.201	516.201	0.8	6.8
-97.984047	41.274517	516.229	516.229	0.9	6.8
-97.984085	41.274521	516.255	516.255	1	6.3
-97.984138	41.274521	516.265	516.265	0.7	5.5
-97.984192	41.274521	516.265	516.265	1	5.3
-97.984238	41.274521	516.293	516.293	0.9	6.1
-97.984283	41.274521	516.309	516.309	1	5.7
-97.984329	41.274521	516.315	516.315	1.2	4.9
-97.984383	41.274521	516.346	516.346	1.1	8
-97.984436	41.274521	516.353	516.353	1	6.9
-97.984474	41.274521	516.354	516.354	1.2	9.2
-97.984512	41.274521	516.363	516.363	1.6	14
-97.984558	41.274521	516.368	516.368	2.2	18.8
-97.984596	41.274521	516.406	516.406	1.5	18.3
-97.984642	41.274521	516.427	516.427	0.8	15.7
-97.98468	41.274521	516.423	516.423	0.6	7
-97.984726	41.274521	516.438	516.438	0.6	5.5
-97.984772	41.274521	516.453	516.453	0.7	6.8
-97.984818	41.274521	516.484	516.484	0.7	6.4
-97.984871	41.274521	516.497	516.497	0.7	7.9
-97.984924	41.274521	516.506	516.506	0.7	6.5
-97.98497	41.274521	516.528	516.528	0.9	8.1
-97.985016	41.274525	516.527	516.527	1	8.9
-97.985062	41.274529	516.536	516.536	1	8.2
-97.9851	41.274529	516.559	516.559	1	8.4
-97.985153	41.274529	516.562	516.562	1.2	7.9
-97.985199	41.274529	516.557	516.557	1.1	9.2
-97.985245	41.274529	516.574	516.574	1	8
-97.985291	41.274529	516.583	516.583	1	6.6
-97.985344	41.274529	516.593	516.593	0.8	5.6
-97.985397	41.274529	516.611	516.611	0.8	5.9
-97.985443	41.274529	516.617	516.617	0.8	7.7
-97.985481	41.274529	516.657	516.657	0.5	8.6
-97.985519	41.274529	516.709	516.709	0.6	4.5
-97.985573	41.274529	516.714	516.714	0.6	5.4
-97.985626	41.274529	516.723	516.723	0.6	5.1
-97.985687	41.274529	516.749	516.749	0.6	4.1
-97.985733	41.274529	516.77	516.77	0.6	3.7
-97.985779	41.274529	516.786	516.786	0.6	3.9
-97.985832	41.274529	516.781	516.781	0.5	3.4
-97.985886	41.274529	516.771	516.771	0.6	4
-97.985947	41.274529	516.779	516.779	0.7	5.5
-97.985992	41.274532	516.799	516.799	0.6	3.8
-97.986038	41.274536	516.838	516.838	0.6	3.7
-97.986099	41.274536	516.863	516.863	0.6	3.5
-97.98616	41.274536	516.869	516.869	0.5	3.2
-97.986206	41.274536	516.894	516.894	0.4	3
-97.986252	41.274536	516.926	516.926	0.4	2.8
-97.986305	41.274536	516.942	516.942	0.6	3
-97.986351	41.274536	516.963	516.963	0.8	3.4
-97.986404	41.274536	517.004	517.004	0.9	4.2
-97.986458	41.274536	517.031	517.031	0.8	5
-97.986511	41.274536	517.042	517.042	0.7	4.4
-97.986572	41.274536	517.035	517.035	0.5	3.6
